python3: can't open file '/kaggle/working/scripts/train_tmg_gan.py': [Errno 2] No such file or directory
TMG GAN Epoch 1/300 | CD_loss 1.9345 | G_loss 1.9672
TMG CLF Epoch 70/200 | Loss 0.6488 | P 0.3314 | R 0.2269 | F1 0.2563
TMG CLF Epoch 71/200 | train step complete (evaluation skipped)
TMG CLF Epoch 72/200 | train step complete (evaluation skipped)
TMG CLF Epoch 73/200 | train step complete (evaluation skipped)
TMG CLF Epoch 74/200 | train step complete (evaluation skipped)
TMG CLF Epoch 75/200 | Loss 0.7033 | P 0.3555 | R 0.2548 | F1 0.2780
TMG CLF Epoch 76/200 | train step complete (evaluation skipped)
TMG CLF Epoch 77/200 | train step complete (evaluation skipped)
TMG CLF Epoch 78/200 | train step complete (evaluation skipped)
TMG CLF Epoch 79/200 | train step complete (evaluation skipped)
TMG CLF Epoch 80/200 | Loss 0.6654 | P 0.3452 | R 0.2343 | F1 0.2638
TMG CLF Epoch 81/200 | train step complete (evaluation skipped)
TMG CLF Epoch 82/200 | train step complete (evaluation skipped)
TMG CLF Epoch 83/200 | train step complete (evaluation skipped)
TMG CLF Epoch 84/200 | train step complete (evaluation skipped)
TMG CLF Epoch 85/200 | Loss 0.6412 | P 0.3114 | R 0.2242 | F1 0.2509
TMG CLF Epoch 86/200 | train step complete (evaluation skipped)
TMG CLF Epoch 87/200 | train step complete (evaluation skipped)
TMG CLF Epoch 88/200 | train step complete (evaluation skipped)
TMG CLF Epoch 89/200 | train step complete (evaluation skipped)
TMG CLF Epoch 90/200 | Loss 0.6303 | P 0.3451 | R 0.2366 | F1 0.2650
TMG CLF Epoch 91/200 | train step complete (evaluation skipped)
TMG CLF Epoch 92/200 | train step complete (evaluation skipped)
TMG CLF Epoch 93/200 | train step complete (evaluation skipped)
TMG CLF Epoch 94/200 | train step complete (evaluation skipped)
TMG CLF Epoch 95/200 | Loss 0.6199 | P 0.3494 | R 0.2295 | F1 0.2563
TMG CLF Epoch 96/200 | train step complete (evaluation skipped)
TMG CLF Epoch 97/200 | train step complete (evaluation skipped)
TMG CLF Epoch 98/200 | train step complete (evaluation skipped)
TMG CLF Epoch 99/200 | train step complete (evaluation skipped)
TMG CLF Epoch 100/200 | Loss 0.6504 | P 0.3178 | R 0.2209 | F1 0.2485
TMG CLF Epoch 101/200 | train step complete (evaluation skipped)
TMG CLF Epoch 102/200 | train step complete (evaluation skipped)
TMG CLF Epoch 103/200 | train step complete (evaluation skipped)
TMG CLF Epoch 104/200 | train step complete (evaluation skipped)
TMG CLF Epoch 105/200 | Loss 0.6214 | P 0.3334 | R 0.2219 | F1 0.2483
TMG CLF Epoch 106/200 | train step complete (evaluation skipped)
TMG CLF Epoch 107/200 | train step complete (evaluation skipped)
TMG CLF Epoch 108/200 | train step complete (evaluation skipped)
TMG CLF Epoch 109/200 | train step complete (evaluation skipped)
TMG CLF Epoch 110/200 | Loss 0.6166 | P 0.3393 | R 0.2253 | F1 0.2521
TMG CLF Epoch 111/200 | train step complete (evaluation skipped)
TMG CLF Epoch 112/200 | train step complete (evaluation skipped)
TMG CLF Epoch 113/200 | train step complete (evaluation skipped)
TMG CLF Epoch 114/200 | train step complete (evaluation skipped)
TMG CLF Epoch 115/200 | Loss 0.7016 | P 0.3552 | R 0.2677 | F1 0.2750
TMG CLF Epoch 116/200 | train step complete (evaluation skipped)
TMG CLF Epoch 117/200 | train step complete (evaluation skipped)
TMG CLF Epoch 118/200 | train step complete (evaluation skipped)
TMG CLF Epoch 119/200 | train step complete (evaluation skipped)
TMG CLF Epoch 120/200 | Loss 0.6125 | P 0.3525 | R 0.2340 | F1 0.2607
TMG CLF Epoch 121/200 | train step complete (evaluation skipped)
TMG CLF Epoch 122/200 | train step complete (evaluation skipped)
TMG CLF Epoch 123/200 | train step complete (evaluation skipped)
TMG CLF Epoch 124/200 | train step complete (evaluation skipped)
TMG CLF Epoch 125/200 | Loss 0.6243 | P 0.3571 | R 0.2272 | F1 0.2544
TMG CLF Epoch 126/200 | train step complete (evaluation skipped)
TMG CLF Epoch 127/200 | train step complete (evaluation skipped)
TMG CLF Epoch 128/200 | train step complete (evaluation skipped)
TMG CLF Epoch 129/200 | train step complete (evaluation skipped)
TMG CLF Epoch 130/200 | Loss 0.6250 | P 0.3387 | R 0.2252 | F1 0.2529
TMG CLF Epoch 131/200 | train step complete (evaluation skipped)
TMG CLF Epoch 132/200 | train step complete (evaluation skipped)
